Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Croatia,European Region of WHO,South West Europe,2010,1,2010-01-04,2010-01-10,,176,0,24,0,,0,24,0,0,0,0,24,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2010,2,2010-01-11,2010-01-17,,123,0,8,0,,0,8,0,0,0,0,8,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2010,3,2010-01-18,2010-01-24,,135,0,12,0,,0,12,0,0,0,0,12,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2010,4,2010-01-25,2010-01-31,,101,0,4,0,,0,4,0,0,0,0,4,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2010,5,2010-02-01,2010-02-07,,81,0,5,0,,0,5,0,0,0,0,5,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2010,6,2010-02-08,2010-02-14,,61,0,1,0,,0,1,0,0,0,0,1,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2010,7,2010-02-15,2010-02-21,,54,0,4,0,,0,4,0,0,0,0,4,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2010,8,2010-02-22,2010-02-28,,42,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2010,9,2010-03-01,2010-03-07,,23,0,1,0,,0,1,0,0,0,0,1,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2010,10,2010-03-08,2010-03-14,,24,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2010,11,2010-03-15,2010-03-21,,13,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Croatia,European Region of WHO,South West Europe,2010,12,2010-03-22,2010-03-28,,15,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Croatia,European Region of WHO,South West Europe,2010,13,2010-03-29,2010-04-04,,11,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Croatia,European Region of WHO,South West Europe,2010,14,2010-04-05,2010-04-11,,6,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2010,15,2010-04-12,2010-04-18,,7,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Croatia,European Region of WHO,South West Europe,2010,16,2010-04-19,2010-04-25,,5,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,17,2010-04-26,2010-05-02,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,18,2010-05-03,2010-05-09,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,19,2010-05-10,2010-05-16,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,20,2010-05-17,2010-05-23,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,21,2010-05-24,2010-05-30,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,22,2010-05-31,2010-06-06,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,23,2010-06-07,2010-06-13,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,24,2010-06-14,2010-06-20,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,25,2010-06-21,2010-06-27,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,26,2010-06-28,2010-07-04,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,27,2010-07-05,2010-07-11,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,28,2010-07-12,2010-07-18,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,29,2010-07-19,2010-07-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,30,2010-07-26,2010-08-01,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,31,2010-08-02,2010-08-08,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,32,2010-08-09,2010-08-15,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,33,2010-08-16,2010-08-22,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,34,2010-08-23,2010-08-29,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,35,2010-08-30,2010-09-05,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,36,2010-09-06,2010-09-12,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,37,2010-09-13,2010-09-19,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,38,2010-09-20,2010-09-26,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,39,2010-09-27,2010-10-03,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,40,2010-10-04,2010-10-10,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,41,2010-10-11,2010-10-17,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,42,2010-10-18,2010-10-24,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,43,2010-10-25,2010-10-31,,5,0,0,1,,0,1,0,0,0,0,1,,No Report

Croatia,European Region of WHO,South West Europe,2010,44,2010-11-01,2010-11-07,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,45,2010-11-08,2010-11-14,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,46,2010-11-15,2010-11-21,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2010,47,2010-11-22,2010-11-28,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

