Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,12,2015-03-16,2015-03-22,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,13,2015-03-23,2015-03-29,43,43,0,0,1,0,0,1,0,0,5,5,6,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,14,2015-03-30,2015-04-05,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,15,2015-04-06,2015-04-12,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,16,2015-04-13,2015-04-19,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,17,2015-04-20,2015-04-26,14,14,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,18,2015-04-27,2015-05-03,52,52,0,0,2,0,0,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,19,2015-05-04,2015-05-10,14,14,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,20,2015-05-11,2015-05-17,31,31,0,0,1,0,0,1,0,0,6,6,7,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,21,2015-05-18,2015-05-24,18,18,0,0,0,0,0,0,0,0,2,2,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,22,2015-05-25,2015-05-31,6,6,0,0,1,0,0,1,0,0,0,0,1,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,23,2015-06-01,2015-06-07,45,45,0,0,2,0,0,2,0,0,10,10,12,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,24,2015-06-08,2015-06-14,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,25,2015-06-15,2015-06-21,30,30,0,0,1,0,0,1,0,0,8,8,9,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,26,2015-06-22,2015-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,27,2015-06-29,2015-07-05,9,9,0,0,0,0,2,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,28,2015-07-06,2015-07-12,36,36,0,0,1,0,0,1,0,0,1,1,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,29,2015-07-13,2015-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,30,2015-07-20,2015-07-26,41,41,0,0,0,0,1,1,0,0,1,1,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,31,2015-07-27,2015-08-02,18,18,0,0,3,0,0,3,0,0,0,0,3,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,32,2015-08-03,2015-08-09,20,20,0,1,0,0,0,1,0,0,0,0,1,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,33,2015-08-10,2015-08-16,36,36,0,0,0,0,2,2,0,0,1,1,3,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,34,2015-08-17,2015-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,35,2015-08-24,2015-08-30,26,26,0,0,0,0,2,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,36,2015-08-31,2015-09-06,25,25,0,1,0,0,0,1,0,0,0,0,1,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,37,2015-09-07,2015-09-13,17,17,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,38,2015-09-14,2015-09-20,33,33,0,2,0,0,0,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,39,2015-09-21,2015-09-27,31,31,0,2,0,0,0,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,40,2015-09-28,2015-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,41,2015-10-05,2015-10-11,14,14,0,6,0,0,0,6,0,0,0,0,6,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,42,2015-10-12,2015-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,43,2015-10-19,2015-10-25,29,29,0,2,0,0,0,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,44,2015-10-26,2015-11-01,25,25,0,0,5,0,0,5,0,0,0,0,5,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,45,2015-11-02,2015-11-08,14,14,0,0,5,0,0,5,0,0,1,1,6,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,46,2015-11-09,2015-11-15,35,35,0,0,1,0,0,1,0,0,3,3,4,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,47,2015-11-16,2015-11-22,13,13,0,0,3,0,0,3,0,0,1,1,4,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,48,2015-11-23,2015-11-29,2,2,0,1,1,0,0,2,0,0,0,0,2,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,49,2015-11-30,2015-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,50,2015-12-07,2015-12-13,11,11,0,1,0,0,0,1,0,0,0,0,1,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,51,2015-12-14,2015-12-20,21,21,0,0,1,0,0,1,0,0,0,0,1,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,52,2015-12-21,2015-12-27,26,26,0,14,1,0,0,15,0,0,0,0,15,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2015,53,2015-12-28,2016-01-03,11,11,0,1,0,0,0,1,0,0,0,0,1,,No Report


