Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Philippines,Western Pacific Region of WHO,South-East Asia,2005,14,2005-04-04,2005-04-10,,33,0,,1,,0,1,,,7,7,8,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,15,2005-04-11,2005-04-17,,16,0,,1,,0,1,,,0,0,1,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,16,2005-04-18,2005-04-24,,25,0,,1,,0,1,,,6,6,7,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,17,2005-04-25,2005-05-01,,16,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,18,2005-05-02,2005-05-08,,25,0,,0,,0,0,,,11,11,11,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,19,2005-05-09,2005-05-15,,42,0,,3,,0,3,,,9,9,12,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,20,2005-05-16,2005-05-22,,14,0,,6,,0,6,,,2,2,8,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,21,2005-05-23,2005-05-29,,45,0,,10,,1,11,,,7,7,18,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,22,2005-05-30,2005-06-05,,30,0,,3,,0,3,,,4,4,7,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,23,2005-06-06,2005-06-12,,34,0,,6,,3,9,,,5,5,14,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,24,2005-06-13,2005-06-19,,19,0,,1,,2,3,,,4,4,7,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,25,2005-06-20,2005-06-26,,29,0,,5,,3,8,,,3,3,11,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,26,2005-06-27,2005-07-03,,20,0,,0,,3,3,,,4,4,7,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,27,2005-07-04,2005-07-10,,21,0,,0,,2,2,,,3,3,5,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,28,2005-07-11,2005-07-17,,22,0,,0,,0,0,,,4,4,4,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,29,2005-07-18,2005-07-24,,16,0,,0,,0,0,,,2,2,2,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,30,2005-07-25,2005-07-31,,7,0,,0,,0,0,,,3,3,3,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,31,2005-08-01,2005-08-07,,22,0,,0,,0,0,,,6,6,6,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,32,2005-08-08,2005-08-14,,16,0,,0,,0,0,,,1,1,1,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,33,2005-08-15,2005-08-21,,28,0,,0,,0,0,,,1,1,1,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,34,2005-08-22,2005-08-28,,35,0,,0,,0,0,,,1,1,1,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,35,2005-08-29,2005-09-04,,19,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,36,2005-09-05,2005-09-11,,20,0,,0,,0,0,,,1,1,1,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,37,2005-09-12,2005-09-18,,29,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,38,2005-09-19,2005-09-25,,50,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,39,2005-09-26,2005-10-02,,32,0,,0,,0,0,,,1,1,1,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,40,2005-10-03,2005-10-09,,23,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,41,2005-10-10,2005-10-16,,23,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,42,2005-10-17,2005-10-23,,20,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,43,2005-10-24,2005-10-30,,16,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,44,2005-10-31,2005-11-06,,0,0,,0,,0,0,,,0,0,0,,No Report

Philippines,Western Pacific Region of WHO,South-East Asia,2005,45,2005-11-07,2005-11-13,,15,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,46,2005-11-14,2005-11-20,,8,0,,0,,0,0,,,3,3,3,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2005,47,2005-11-21,2005-11-27,,4,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,48,2005-11-28,2005-12-04,,13,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,49,2005-12-05,2005-12-11,,10,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,50,2005-12-12,2005-12-18,,19,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,51,2005-12-19,2005-12-25,,4,0,,0,,0,0,,,0,0,0,,No Activity

Philippines,Western Pacific Region of WHO,South-East Asia,2005,52,2005-12-26,2006-01-01,,,,,,,,,,,,,,,No Report


